Overriding config with config/train_abc_char_medium.py:
# config/train_abc_char_medium.py
from config.train_abc_char_base import *

out_dir = 'out-abc-char-medium'

n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.1

tokens per iteration will be: 65,536
found vocab_size = 99 (inside data/abc_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.66M
num decayed parameter tensors: 26, with 10,851,456 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
iter 960: loss 0.6419, time 104.11ms, mfu 19.03%
iter 970: loss 0.6552, time 67.29ms, mfu 19.56%
iter 980: loss 0.5787, time 100.46ms, mfu 19.24%
iter 990: loss 0.6272, time 104.86ms, mfu 18.88%
step 1000: train loss 0.5634, val loss 0.5572
saving checkpoint to out-abc-char-medium
iter 1000: loss 0.6263, time 2505.96ms, mfu 17.06%
iter 1010: loss 0.6895, time 93.22ms, mfu 17.11%
iter 1020: loss 0.7155, time 96.33ms, mfu 17.11%
iter 1030: loss 0.5829, time 98.32ms, mfu 17.06%
iter 1040: loss 0.6445, time 95.96ms, mfu 17.07%
iter 1050: loss 0.6263, time 96.45ms, mfu 17.06%
iter 1060: loss 0.6466, time 93.97ms, mfu 17.10%
iter 1070: loss 0.5512, time 65.90ms, mfu 17.88%
iter 1080: loss 0.5496, time 71.17ms, mfu 18.40%
iter 1090: loss 0.6200, time 97.04ms, mfu 18.25%
iter 1100: loss 0.6961, time 97.99ms, mfu 18.10%
iter 1110: loss 0.6196, time 102.20ms, mfu 17.89%
iter 1120: loss 0.6039, time 52.27ms, mfu 19.24%
iter 1130: loss 0.6334, time 83.07ms, mfu 19.29%
iter 1140: loss 0.5588, time 84.77ms, mfu 19.30%
iter 1150: loss 0.5749, time 63.18ms, mfu 19.97%
iter 1160: loss 0.5431, time 81.15ms, mfu 19.99%
iter 1170: loss 0.5100, time 82.99ms, mfu 19.97%
iter 1180: loss 0.5752, time 85.39ms, mfu 19.90%
iter 1190: loss 0.6244, time 84.72ms, mfu 19.84%
iter 1200: loss 0.6217, time 82.42ms, mfu 19.85%
iter 1210: loss 0.5658, time 84.39ms, mfu 19.81%
iter 1220: loss 0.6338, time 84.79ms, mfu 19.76%
iter 1230: loss 0.5509, time 95.71ms, mfu 19.50%
iter 1240: loss 0.5821, time 92.87ms, mfu 19.32%
iter 1250: loss 0.5718, time 92.04ms, mfu 19.17%
iter 1260: loss 0.6000, time 92.91ms, mfu 19.02%
iter 1270: loss 0.5548, time 92.63ms, mfu 18.89%
iter 1280: loss 0.6431, time 95.20ms, mfu 18.72%
iter 1290: loss 0.5705, time 92.69ms, mfu 18.62%
iter 1300: loss 0.5929, time 97.39ms, mfu 18.44%
iter 1310: loss 0.5600, time 92.60ms, mfu 18.37%
iter 1320: loss 0.5382, time 95.67ms, mfu 18.25%
iter 1330: loss 0.6182, time 94.57ms, mfu 18.16%
iter 1340: loss 0.5541, time 98.16ms, mfu 18.01%
iter 1350: loss 0.6381, time 92.84ms, mfu 17.98%
