Overriding config with config/train_abc_char_tiny.py:
# config/train_abc_char_tiny.py
from config.train_abc_char_base import *

out_dir = 'out-abc-char-tiny'

n_layer = 2
n_head = 2
n_embd = 128
dropout = 0.1

tokens per iteration will be: 65,536
found vocab_size = 99 (inside data/abc_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 0.41M
num decayed parameter tensors: 10, with 471,424 parameters
num non-decayed parameter tensors: 5, with 640 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
iter 960: loss 1.3280, time 53.08ms, mfu 1.94%
iter 970: loss 1.1811, time 51.19ms, mfu 1.91%
iter 980: loss 1.2332, time 51.37ms, mfu 1.89%
iter 990: loss 1.1351, time 51.47ms, mfu 1.86%
step 1000: train loss 1.1901, val loss 1.1916
saving checkpoint to out-abc-char-tiny
iter 1000: loss 1.2320, time 828.91ms, mfu 1.69%
iter 1010: loss 1.2472, time 48.55ms, mfu 1.69%
iter 1020: loss 1.2484, time 47.07ms, mfu 1.70%
iter 1030: loss 1.2579, time 51.28ms, mfu 1.69%
iter 1040: loss 1.2061, time 40.66ms, mfu 1.73%
iter 1050: loss 1.2271, time 50.16ms, mfu 1.73%
iter 1060: loss 1.2219, time 47.25ms, mfu 1.73%
iter 1070: loss 1.2312, time 45.53ms, mfu 1.74%
iter 1080: loss 1.3014, time 53.37ms, mfu 1.73%
iter 1090: loss 1.2421, time 48.08ms, mfu 1.73%
iter 1100: loss 1.2033, time 48.02ms, mfu 1.73%
iter 1110: loss 1.2207, time 46.03ms, mfu 1.74%
iter 1120: loss 1.2136, time 43.54ms, mfu 1.76%
iter 1130: loss 1.3739, time 47.00ms, mfu 1.77%
iter 1140: loss 1.1872, time 57.68ms, mfu 1.73%
iter 1150: loss 1.2730, time 53.98ms, mfu 1.72%
iter 1160: loss 1.1323, time 36.87ms, mfu 1.77%
iter 1170: loss 1.2499, time 31.03ms, mfu 1.87%
iter 1180: loss 1.2786, time 46.25ms, mfu 1.86%
iter 1190: loss 1.2831, time 43.18ms, mfu 1.87%
iter 1200: loss 1.1881, time 49.71ms, mfu 1.85%
iter 1210: loss 1.1134, time 44.27ms, mfu 1.86%
iter 1220: loss 1.2690, time 53.59ms, mfu 1.83%
iter 1230: loss 1.2856, time 36.80ms, mfu 1.88%
iter 1240: loss 1.2289, time 49.83ms, mfu 1.86%
iter 1250: loss 1.3051, time 43.59ms, mfu 1.87%
iter 1260: loss 1.2711, time 55.16ms, mfu 1.83%
iter 1270: loss 1.1065, time 51.37ms, mfu 1.81%
iter 1280: loss 1.3322, time 50.77ms, mfu 1.80%
iter 1290: loss 1.2237, time 47.94ms, mfu 1.79%
iter 1300: loss 1.0935, time 45.60ms, mfu 1.80%
iter 1310: loss 1.2015, time 43.31ms, mfu 1.81%
iter 1320: loss 1.1536, time 56.25ms, mfu 1.78%
iter 1330: loss 1.0630, time 37.39ms, mfu 1.83%
iter 1340: loss 1.2663, time 51.43ms, mfu 1.81%
iter 1350: loss 1.2789, time 43.47ms, mfu 1.82%
iter 1360: loss 1.1647, time 48.84ms, mfu 1.81%
iter 1370: loss 1.2108, time 46.61ms, mfu 1.81%
iter 1380: loss 1.2214, time 44.47ms, mfu 1.82%
iter 1390: loss 1.1955, time 45.78ms, mfu 1.82%
iter 1400: loss 1.2299, time 41.47ms, mfu 1.84%
iter 1410: loss 1.1257, time 36.72ms, mfu 1.89%
iter 1420: loss 1.2966, time 31.51ms, mfu 1.97%
iter 1430: loss 1.1636, time 53.94ms, mfu 1.93%
iter 1440: loss 1.2857, time 50.90ms, mfu 1.90%
iter 1450: loss 1.1550, time 55.34ms, mfu 1.86%
iter 1460: loss 1.2054, time 53.32ms, mfu 1.83%
iter 1470: loss 1.0987, time 41.22ms, mfu 1.86%
iter 1480: loss 1.1393, time 47.73ms, mfu 1.85%
iter 1490: loss 1.1892, time 53.21ms, mfu 1.82%
step 1500: train loss 1.0749, val loss 1.0810
saving checkpoint to out-abc-char-tiny
iter 1500: loss 1.1840, time 950.72ms, mfu 1.65%
iter 1510: loss 1.1746, time 38.28ms, mfu 1.70%
iter 1520: loss 1.1357, time 27.26ms, mfu 1.84%
iter 1530: loss 1.2007, time 17.44ms, mfu 2.14%
iter 1540: loss 1.2385, time 44.71ms, mfu 2.11%
iter 1550: loss 1.2196, time 40.27ms, mfu 2.11%
iter 1560: loss 1.3190, time 32.25ms, mfu 2.16%
iter 1570: loss 1.2113, time 50.35ms, mfu 2.11%
iter 1580: loss 1.2122, time 51.40ms, mfu 2.07%
iter 1590: loss 1.1610, time 46.63ms, mfu 2.04%
iter 1600: loss 1.1375, time 48.08ms, mfu 2.01%
iter 1610: loss 1.1406, time 52.52ms, mfu 1.97%
